,thuong_hieu,dong_xe,nam_dang_ky,so_km_da_di,tinh_trang,loai_xe,dung_tich_xe,xuat_xu,gia_actual,gia_pred,residual,residual_z,outside_p10p90,p10,p90,iso_score_raw,iso_flag,lof_flag,lof_score_raw,dbscan_flag,resid_flag_cheap,resid_flag_expensive,resid_score_raw,resid_score,iso_score,lof_score,p10p90_score,anomaly_score,anomaly_flag
4978,Piaggio,Primavera,2023.0,10230.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,61.50000000000002,47.6954,13.804599761962912,0.28851937012890355,0,4.700000000000001,65.99999999999997,-0.03058242631280922,0,0,1.2631108725246456,1,0,0,0.28851937012890355,1.2207548296303594,36.55801719824489,15.286539264819886,0,17.94153494796462,0
3920,Honda,Future,2001.0,10000.0,Đã sử dụng,Xe số,100 - 175 cc,Trung Quốc,3.999999999999999,6.517921,-2.517920970916749,-0.1784341142662308,1,4.700000000000001,65.99999999999997,-0.026741849940849605,0,0,1.1074029062605404,1,0,0,0.1784341142662308,0.7549565078663627,40.23282060729046,8.251080092040395,100,42.996915089168056,0
4456,Yamaha,Exciter,2019.0,28500.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,26.0,22.656267,3.3437328338623047,-0.010744349109676673,0,4.700000000000001,65.99999999999997,-0.044692886158634704,0,0,1.006297968908192,0,0,0,0.010744349109676673,0.045419062775982476,23.056615084951535,3.6827867928885345,0,8.520800041428952,0
5383,Honda,Dòng khác,1995.0,100000.0,Đã sử dụng,Tay ga,Trên 175 cc,Nhật Bản,30.0,19.685896,10.314104080200195,0.1886635238696892,0,4.700000000000001,65.99999999999997,-0.01279639500558355,0,0,1.1222877747182474,1,0,0,0.1886635238696892,0.7982397049538219,53.57634000999378,8.923633249332077,0,23.314275852344263,0
248,Piaggio,Vespa,2012.0,60000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,7.5,11.281883,-3.7818832397460938,-0.21459345480147882,0,4.700000000000001,65.99999999999997,-0.022226038624753586,0,0,1.0135098877326083,0,0,0,0.21459345480147882,0.9079557447343984,44.55371341394201,4.008647836892667,0,18.27859955184651,0
4934,Honda,SH,2006.0,100000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,39.0,31.55354,7.446460723876953,0.10662619157576624,0,4.700000000000001,65.99999999999997,-0.05214592197057866,0,0,1.3961632665198214,0,0,0,0.10662619157576624,0.45111918091040465,15.92527885910904,21.298336273367816,0,10.22775216461583,0
6097,Piaggio,Vespa,2021.0,15000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,47.99999999999999,64.19262,-16.192619323730476,-0.5696388888471626,0,4.700000000000001,65.99999999999997,-0.021364540177055802,0,0,1.0659125814930157,0,0,0,0.5696388888471626,2.4102420048921998,45.37802651850656,6.376394467592849,0,20.13135865277503,0
6258,Yamaha,Dòng khác,2009.0,100000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,3.0,6.058766,-3.0587658882141113,-0.19390656627180078,1,4.700000000000001,65.99999999999997,-0.04611917310690494,0,0,1.0286824929057212,1,0,0,0.19390656627180078,0.8204243320658087,21.691891764241642,4.6942019983225345,100,34.226293295591496,0
3375,Yamaha,YB125,2019.0,12000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,35.99999999999999,28.535162,7.4648380279540945,0.10715192815242894,0,4.700000000000001,65.99999999999997,-0.044288601325633725,0,0,1.0761832161180112,1,0,0,0.10715192815242894,0.4533437041962925,23.443449543806306,6.840459552484709,0,9.736269001511083,0
7189,Honda,Winner,2018.0,1000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,15.5,16.026033,-0.5260334014892578,-0.12145033974457158,0,4.700000000000001,65.99999999999997,-0.03772462370260771,0,0,1.1968670920853746,0,0,0,0.12145033974457158,0.5138438690123623,29.724102500510085,12.293401380400043,0,13.842661365733408,0
